country,countryCode,city,isp,org,as,query,valid
Netherlands,NL,Amsterdam,Aeza International LTD,Aeza Group LLC,AS210644 AEZA INTERNATIONAL LTD,79.137.198.194,True
Netherlands,NL,Amsterdam,Aeza International LTD,NetCrafters OU,AS210644 AEZA INTERNATIONAL LTD,213.176.64.23,True
Netherlands,NL,Amsterdam,HostPapa,RackNerd LLC,AS36352 HostPapa,23.94.217.136,True
Netherlands,NL,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",159.223.211.152,True
The Netherlands,NL,Meppel,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,45.67.35.221,True
Netherlands,NL,Amsterdam,SYN LTD,,AS200740 FIRST SERVER LIMITED,87.239.250.229,True
Netherlands,NL,Amsterdam,CGI GLOBAL LIMITED,CGI GLOBAL LIMITED,AS56971 AS56971 Cloud,109.248.162.70,True
Netherlands,NL,Amsterdam,NetCrafters OU,RTM GmbH,AS203273 NetCrafters OU,62.60.247.251,True
Netherlands,NL,Amsterdam,SIA VEESP,SIA VEESP,AS42532 SIA VEESP,82.115.7.222,True
The Netherlands,NL,Enschede,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,84.246.85.33,True
Netherlands,NL,Amsterdam,SIA VEESP,Veesp SIA,AS42532 SIA VEESP,188.253.27.51,True
Netherlands,NL,Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC",134.209.205.250,True
Netherlands,NL,Amsterdam,CGI GLOBAL LIMITED,CloudBackbone,AS56971 AS56971 Cloud,195.211.124.245,True
Netherlands,NL,Amsterdam,Aeza International LTD,Aeza International LTD,AS210644 AEZA INTERNATIONAL LTD,77.221.154.239,True
The Netherlands,NL,Enschede,WorkTitans B.V.,WorkTitans B.V,AS209847 WorkTitans B.V.,91.242.229.228,True
