country,countryCode,city,isp,org,as,query,valid
Poland,PL,Poznan,Hosteam S.c. Tomasz Groszewski Bartosz Waszak Lukasz Groszewski,EasyNET,AS51290 BARTOSZ WASZAK trading as HOSTEAM S.C. TOMASZ GROSZEWSKI BARTOSZ WASZAK LUKASZ GROSZEWSKI,31.133.0.55,True
Poland,PL,Wroclaw,OVH SAS,OVH Sp. z o. o,AS16276 OVH SAS,87.98.237.23,True
Poland,PL,Wroclaw,OVH SAS,OVH Sp. z o. o,AS16276 OVH SAS,87.98.235.174,True
Poland,PL,Warsaw,Baxet Group Inc.,Baxet Group Inc,AS26383 Baxet Group Inc.,91.149.253.213,True
Poland,PL,Poznan,Hosteam S.c. Tomasz Groszewski Bartosz Waszak Lukasz Groszewski,EasyNET,AS51290 BARTOSZ WASZAK trading as HOSTEAM S.C. TOMASZ GROSZEWSKI BARTOSZ WASZAK LUKASZ GROSZEWSKI,31.133.0.122,True
Poland,PL,Wroclaw,OVH SAS,OVH Sp. z o. o,AS16276 OVH SAS,145.239.88.255,True
Poland,PL,Gdansk,Artnet Sp. z o.o.,IROKO Networks Corporation,AS200088 Artnet Sp. z o.o.,37.252.7.161,True
Poland,PL,Wroclaw,OVH SAS,OVH Sp. z o. o,AS16276 OVH SAS,145.239.85.117,True
Poland,PL,Warsaw,3hcloud,Limited liability company,AS49791 Newserverlife LLC,45.144.48.182,True
Poland,PL,Warsaw,3hcloud,Limited liability company,AS49791 Newserverlife LLC,45.144.48.186,True
Poland,PL,Warsaw,OVH SAS,OVH Sp. z o. o,AS16276 OVH SAS,57.128.227.152,True
Poland,PL,Wroclaw,OVH SAS,OVH Sp. z o. o,AS16276 OVH SAS,87.98.235.90,True
