country,countryCode,city,isp,org,as,query,valid
Switzerland,CH,Zurich,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,45.95.232.18,True
Switzerland,CH,Bern,Datasource AG,Servinga6869,AS51395 Datasource AG,185.195.69.209,True
Switzerland,CH,Zurich,Datasource AG,,AS51395 Datasource AG,91.192.102.170,True
Switzerland,CH,Utzenstorf,Solar Communications GmbH,Solar Communications GmbH,AS197988 Solar Communications GmbH,95.183.51.10,True
Switzerland,CH,Zurich,Global Connectivity Solutions LLP,Global Connectivity Solutions LLP,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,45.95.232.115,True
