country,countryCode,city,isp,org,as,query,valid
Turkey,TR,Istanbul,TradeZone LLC,TradeZone LLC,AS201575 TradeZone LLC,188.132.192.195,True
Turkey,TR,Istanbul,TradeZone LLC,TradeZone LLC,AS201575 TradeZone LLC,188.132.192.194,True
Turkey,TR,Osmangazi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,AS48678 PENTECH BILISIM TEKNOLOJILERI SANAYI VE TICARET LIMITED SIRKETi,188.132.234.16,True
Turkey,TR,Istanbul,TradeZone LLC,TradeZone LLC,AS201575 TradeZone LLC,188.132.192.190,True
