country,countryCode,city,isp,org,as,query,valid
Estonia,EE,Tallinn,Brainoza OU,Brainoza OU,AS214790 Brainoza OU,185.36.142.88,True
Estonia,EE,Tallinn,OC NETWORKS LIMITED,1Cent Host,AS209693 OC NETWORKS LIMITED,87.121.86.140,True
Estonia,EE,Tallinn,Brainoza OU,Brainoza OU,AS214790 Brainoza OU,185.36.141.232,True
Estonia,EE,Tallinn,Brainoza OU,Brainoza OU,AS214790 Brainoza OU,185.36.140.105,True
Estonia,EE,Tallinn,Brainoza OU,Brainoza OU,AS214790 Brainoza OU,5.189.254.168,True
Estonia,EE,Jõhvi,PAGM network,Hosting Services,AS198068 P.A.G.M. OU,46.36.217.155,True
Estonia,EE,Jõhvi,PAGM network,Hosting Services,AS198068 P.A.G.M. OU,5.101.180.145,True
Estonia,EE,Tallinn,OC NETWORKS LIMITED,1Cent Host,AS209693 OC NETWORKS LIMITED,64.188.78.98,True
Estonia,EE,Tallinn,OC NETWORKS LIMITED,1Cent Host,AS209693 OC NETWORKS LIMITED,185.252.177.221,True
Estonia,EE,Tallinn,Aktsiaselts WaveCom,3NT SOLUTIONS LLP,AS34702 Aktsiaselts WaveCom,38.180.10.51,True
Estonia,EE,Tallinn,INFONET,,AS8728 AS INFONET,109.235.246.34,True
Estonia,EE,Tallinn,BlueVPS OU,Host-World OU,AS62005 BlueVPS OU,5.42.221.16,True
Estonia,EE,Tallinn,AS INFONET,Infonet Split,AS8728 AS INFONET,109.235.242.101,True
Estonia,EE,Tallinn,Aktsiaselts WaveCom,IROKO Networks Corporation,AS34702 Aktsiaselts WaveCom,37.252.5.75,True
Estonia,EE,Jõhvi,PAGM network,Hosting Services,AS198068 P.A.G.M. OU,5.45.115.128,True
Estonia,EE,Tallinn,BlueVPS OU,Host-World OU,AS62005 BlueVPS OU,5.42.221.131,True
Estonia,EE,Tallinn,HostSlim B.V.,HostPapa,AS207083 HostSlim B.V.,69.12.83.170,True
Estonia,EE,Tallinn,OC NETWORKS LIMITED,1Cent Host,AS209693 OC NETWORKS LIMITED,64.188.82.173,True
Estonia,EE,Tallinn,Brainoza OU,Brainoza OU,AS214790 Brainoza OU,185.36.141.23,True
